Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,0.1uF,
C2,0603,1,100nF,
C3,0603,1,4.7uF,
C4,0603,1,1uF,
C5,0603,1,0.01uF,
C6,CP_EIA-6032-15_Kemet-U,1,10uF,
"D1, D3",0805,2,D_Schottky,
D2,0603,1,LED,
J1,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05_Pin,
"J3, J4",Pin_D1.0mm_L10.0mm,2,Conn_01x01_Socket,
M1,PinHeader_1x04_P2.54mm_Horizontal,1,Fan_CPU_4pin,
"R1, R2",0603,2,10k,
RV1,Potentiometer_Bourns_3299W_Vertical,1,10kohm,
SW1,SW_SPST_B3SL-1002P,1,SW_Push,
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,STM32G030J6Mx,
U2,MSOP-8_3x3mm_P0.65mm,1,LT1962-3.3,
