Designator,Mid X,Mid Y,Rotation,Layer
C1,194.429993,-89.688575,90.0,top
C2,195.803147,-92.961749,270.0,bottom
C3,194.246462,-92.93623,270.0,bottom
C4,183.895534,-89.878709,270.0,top
C5,179.533051,-93.927329,0.0,bottom
C6,183.230799,-91.082752,90.0,bottom
D1,196.763533,-85.057692,180.0,bottom
D2,182.024921,-93.162645,90.0,top
D3,178.640509,-85.529802,180.0,bottom
J1,183.256615,-86.377322,90.0,top
J3,175.26,-93.141324,0.0,top
J4,175.26,-85.498104,0.0,top
M1,203.780224,-85.604013,0.0,top
R1,194.429177,-92.869904,90.0,top
R2,182.037858,-89.855488,270.0,top
RV1,199.658541,-91.627795,270.0,top
SW1,189.183317,-91.883314,180.0,top
U1,189.565919,-91.941882,180.0,bottom
U2,179.340662,-89.789742,90.0,bottom
